,MPG,FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FTM,FTA,FGM,FGA
D. Valentine,16.733333333333334,0.373,0.941,1.3,6.5,3.2,1.7,0.5,0.1,-0.7,0.3,0.3,2.5,6.7
C. Payne,17.95,0.484,0.893,1.2,8.4,2.4,3.6,0.6,0.3,-1.0,0.8,0.9,3.2,6.6
G. Hill,22.316666666666666,0.482,0.8,1.0,8.7,2.0,2.4,0.8,0.2,-1.0,1.3,1.7,3.2,6.6
L. Kennard,19.516666666666666,0.476,0.8390000000000001,1.6,8.3,2.6,1.7,0.4,0.1,-0.8,0.4,0.5,3.1,6.6
S. Brown,24.05,0.448,0.8059999999999999,1.8,8.2,4.4,1.4,0.7,0.2,-0.8,0.5,0.6,2.9,6.6
A. Holiday,17.816666666666666,0.39,0.8190000000000001,1.0,7.2,1.3,1.9,0.7,0.2,-1.0,1.0,1.3,2.6,6.6
B. Brown,22.35,0.556,0.735,0.3,8.8,5.4,1.6,0.9,0.4,-0.8,1.3,1.8,3.6,6.5
N. Marshall,21.8,0.392,0.7070000000000001,0.9,7.7,4.6,2.8,0.8,0.3,-1.2,1.7,2.3,2.6,6.5
M. Bamba,15.716666666666667,0.472,0.682,0.8,8.0,5.8,0.8,0.3,1.3,-0.8,1.0,1.4,3.1,6.5
I. Brazdeikis,19.066666666666666,0.422,0.7140000000000001,0.8,7.0,3.5,1.3,0.3,0.2,-0.9,0.8,1.1,2.7,6.4
D. Dotson,4.55,0.524,,0.1,2.1,0.5,0.6,0.4,0.0,-0.0,0.0,0.0,1.0,1.9
J. Johnson,,,,,,,,,,,,,,
A. Bradley,22.316666666666666,0.374,0.8,1.2,6.4,2.1,1.7,0.8,0.1,-1.0,0.4,0.6,2.4,6.3
A. Simons,17.216666666666665,0.419,0.807,1.9,7.8,2.2,1.4,0.3,0.1,-0.7,0.7,0.9,2.6,6.3
P. Pritchard,19.15,0.44,0.889,1.5,7.7,2.4,1.8,0.6,0.1,-0.8,0.6,0.7,2.8,6.3
D. Smith Jr.,18.3,0.4,0.731,0.8,6.7,2.4,3.3,1.0,0.6,-1.1,0.8,1.1,2.5,6.3
K. Williams,21.63333333333333,0.5329999999999999,0.5710000000000001,0.8,8.0,4.1,2.3,0.8,0.3,-1.2,0.5,1.0,3.3,6.2
H. Whiteside,15.25,0.563,0.519,0.0,8.1,6.0,0.6,0.3,1.3,-1.1,1.1,2.2,3.5,6.2
M. Brown,21.4,0.545,0.619,0.0,8.6,8.9,0.2,0.7,1.1,-1.0,1.8,2.9,3.4,6.2
J. Poeltl,26.766666666666666,0.616,0.508,0.0,8.6,7.9,1.9,0.7,1.8,-1.2,0.9,1.8,3.8,6.2
K. Lewis Jr.,16.8,0.386,0.843,0.7,6.4,1.3,2.3,0.7,0.2,-0.6,0.8,0.9,2.4,6.2
T. Luwawu-Cabarrot,18.1,0.365,0.8140000000000001,1.3,6.4,2.2,1.2,0.6,0.1,-0.7,0.6,0.7,2.2,6.1
R. Hampton,17.45,0.435,0.6709999999999999,0.5,6.9,3.5,1.7,0.4,0.2,-1.0,1.1,1.6,2.7,6.1
N. Batum,27.33333333333333,0.464,0.828,1.6,8.1,4.7,2.2,1.0,0.6,-0.8,0.7,0.9,2.9,6.1
J. McGee,14.733333333333333,0.511,0.657,0.1,7.3,5.2,0.8,0.4,1.2,-1.3,1.0,1.5,3.1,6.1
J. Redick,16.4,0.397,0.942,1.5,7.4,1.5,1.2,0.3,0.1,-0.8,1.1,1.2,2.4,6.1
J. McDaniels,24.0,0.447,0.6,1.1,6.8,3.7,1.1,0.6,1.0,-0.7,0.4,0.7,2.6,5.8
I. Stewart,21.4,0.5529999999999999,0.696,0.3,7.9,6.7,0.9,0.6,1.3,-1.0,0.9,1.4,3.3,6.0
D. Mathias,15.5,0.396,0.333,1.0,6.0,0.9,1.6,0.1,0.4,-0.1,0.3,0.8,2.4,6.0
D. Augustin,19.78333333333333,0.394,0.904,1.5,7.7,1.6,3.3,0.5,0.0,-1.1,1.5,1.6,2.4,6.0
F. Mason III,19.75,0.375,0.7140000000000001,0.5,6.3,3.0,3.0,0.0,0.0,-1.3,1.3,1.8,2.3,6.0
R. Lopez,19.1,0.633,0.723,0.1,9.0,3.8,0.8,0.2,0.6,-1.1,1.4,1.9,3.8,6.0
T. Thompson,23.8,0.518,0.5920000000000001,0.0,7.6,8.1,1.2,0.4,0.6,-1.1,1.3,2.2,3.1,6.0
J. Ennis III,24.0,0.473,0.805,1.1,8.4,4.0,1.5,0.8,0.2,-0.9,1.7,2.1,2.8,5.9
T. Jones,7.2333333333333325,0.474,0.895,0.1,2.5,0.6,1.1,0.2,0.0,-0.4,0.5,0.5,1.0,2.1
P. Beverley,22.5,0.423,0.8,1.5,7.5,3.2,2.1,0.8,0.8,-0.9,1.0,1.2,2.5,5.9
K. Bazemore,19.9,0.449,0.6920000000000001,1.1,7.2,3.4,1.6,1.0,0.5,-1.2,0.8,1.2,2.6,5.9
C. Randle,20.45,0.388,0.792,1.1,6.5,2.0,1.8,0.6,0.1,-1.1,0.9,1.2,2.2,5.8
D. Avdija,23.3,0.417,0.644,1.0,6.3,4.9,1.2,0.6,0.3,-0.6,0.5,0.8,2.4,5.8
J. Hernangómez,17.266666666666666,0.435,0.619,1.1,7.2,3.9,0.7,0.4,0.1,-0.5,1.2,1.9,2.5,5.8
M. Robinson,27.466666666666665,0.653,0.491,0.0,8.3,8.1,0.5,1.1,1.5,-0.8,0.8,1.7,3.7,5.7
G. Hernangómez,17.966666666666665,0.563,0.667,0.0,7.8,7.1,1.1,0.5,0.5,-0.7,1.3,2.0,3.2,5.7
A. Baynes,18.45,0.441,0.7070000000000001,0.5,6.1,5.2,0.9,0.3,0.4,-0.9,0.5,0.8,2.5,5.7
K. Birch,22.85,0.4970000000000001,0.705,0.2,7.2,5.8,1.3,0.7,0.7,-0.7,1.4,1.9,2.8,5.7
T. Satoransky,22.58333333333333,0.514,0.848,0.7,7.7,2.4,4.7,0.7,0.2,-1.7,1.2,1.4,2.9,5.7
Y. Ferrell,13.8,0.35100000000000003,0.778,0.9,5.6,1.9,2.2,0.7,0.3,-0.3,0.7,0.9,2.0,5.7
T. Burke,14.766666666666667,0.428,0.895,0.9,6.6,0.9,1.3,0.6,0.1,-0.5,0.8,0.9,2.4,5.7
L. King,14.166666666666664,0.5,1.0,0.7,7.3,3.0,1.5,1.2,0.5,-0.7,1.0,1.0,2.8,5.7
J. Robinson,9.766666666666667,0.333,0.6,0.4,2.3,0.8,1.0,0.3,0.0,-0.2,0.3,0.6,0.8,2.3
P. Connaughton,22.85,0.434,0.775,1.5,6.8,4.8,1.2,0.7,0.3,-0.5,0.4,0.6,2.4,5.6
G. Niang,15.966666666666667,0.4370000000000001,0.957,1.7,6.9,2.4,0.8,0.3,0.1,-0.7,0.3,0.3,2.5,5.6
F. Kaminsky,15.2,0.471,0.617,0.7,6.6,4.0,1.7,0.3,0.4,-0.5,0.8,1.3,2.6,5.5
R. O'Neale,31.58333333333333,0.444,0.848,1.5,7.0,6.8,2.5,0.8,0.5,-1.2,0.5,0.6,2.5,5.5
